synset_id	synset str	lemma	variant
363285	(lawrencium 1* (sbst) [sbst] | Lr 1* (sbst), atomic number 103 1* (sbst))	atomic number 103	1
363284	(lanthanum 1* (sbst) [sbst] | La 1* (sbst), atomic number 57 1* (sbst))	atomic number 57	1
363283	(krypton 1* (sbst) [sbst] | Kr 1* (sbst), atomic number 36 1* (sbst))	atomic number 36	1
363282	(iron 1* (sbst) [sbst] | Fe 1* (sbst), atomic number 26 1* (sbst))	atomic number 26	1
363281	(iridium 1* (sbst) [sbst] | Ir 1* (sbst), atomic number 77 1* (sbst))	atomic number 77	1
363278	(iodine 1* (sbst) [sbst] | iodin 1* (sbst), I 1* (sbst), atomic number 53 1* (sbst))	atomic number 53	1
363277	(indium 1* (sbst) [sbst] | In 2* (sbst), atomic number 49 1* (sbst))	atomic number 49	1
363273	(hydrogen 1* (sbst) [sbst] | H 1* (sbst), atomic number 1 1* (sbst))	atomic number 1	1
363272	(holmium 1* (sbst) [sbst] | Ho 1* (sbst), atomic number 67 1* (sbst))	atomic number 67	1
363271	(helium 1* (sbst) [sbst] | He 1* (sbst), atomic number 2 1* (sbst))	atomic number 2	1
363270	(hassium 1* (sbst) [sbst] | Hs 1* (sbst), element 108 1* (sbst), atomic number 108 1* (sbst))	atomic number 108	1
363270	(hassium 1* (sbst) [sbst] | Hs 1* (sbst), element 108 1* (sbst), atomic number 108 1* (sbst))	element 108	1
363269	(hafnium 1* (sbst) [sbst] | Hf 1* (sbst), atomic number 72 1* (sbst))	atomic number 72	1
363268	(24-karat gold 1* (sbst) [sbst] | pure gold 1* (sbst))	pure gold	1
363268	(24-karat gold 1* (sbst) [sbst] | pure gold 1* (sbst))	24-karat gold	1
363265	(gold 3* (sbst) [sbst] | Au 1* (sbst), atomic number 79 1* (sbst))	atomic number 79	1
363264	(germanium 1* (sbst) [sbst] | Ge 1* (sbst), atomic number 32 1* (sbst))	atomic number 32	1
363263	(gallium 1* (sbst) [sbst] | Ga 2* (sbst), atomic number 31 1* (sbst))	atomic number 31	1
363262	(gadolinium 1* (sbst) [sbst] | Gd 2* (sbst), atomic number 64 1* (sbst))	atomic number 64	1
