synset_id	synset str	lemma	variant
371565	(total 2* (cpor) [cpor] | tot 1* (cpor), tot up 1* (cpor), sum 2* (cpor), sum up 3* (cpor), summate 1* (cpor), tote up 1* (cpor), add 5* (cpor), add together 1* (cpor), tally 4* (cpor), add up 2* (cpor))	tote up	1
371565	(total 2* (cpor) [cpor] | tot 1* (cpor), tot up 1* (cpor), sum 2* (cpor), sum up 3* (cpor), summate 1* (cpor), tote up 1* (cpor), add 5* (cpor), add together 1* (cpor), tally 4* (cpor), add up 2* (cpor))	sum up	3
371565	(total 2* (cpor) [cpor] | tot 1* (cpor), tot up 1* (cpor), sum 2* (cpor), sum up 3* (cpor), summate 1* (cpor), tote up 1* (cpor), add 5* (cpor), add together 1* (cpor), tally 4* (cpor), add up 2* (cpor))	tot up	1
371558	(count down 1* (cpor) [cpor] | )	count down	1
371550	(rattle down 1* (cpor) [cpor] | rattle off 1* (cpor), reel off 2* (cpor), spiel off 1* (cpor), roll off 1* (cpor))	roll off	1
371550	(rattle down 1* (cpor) [cpor] | rattle off 1* (cpor), reel off 2* (cpor), spiel off 1* (cpor), roll off 1* (cpor))	spiel off	1
371550	(rattle down 1* (cpor) [cpor] | rattle off 1* (cpor), reel off 2* (cpor), spiel off 1* (cpor), roll off 1* (cpor))	reel off	2
371550	(rattle down 1* (cpor) [cpor] | rattle off 1* (cpor), reel off 2* (cpor), spiel off 1* (cpor), roll off 1* (cpor))	rattle off	1
371550	(rattle down 1* (cpor) [cpor] | rattle off 1* (cpor), reel off 2* (cpor), spiel off 1* (cpor), roll off 1* (cpor))	rattle down	1
371545	(drone 2* (cpor) [cpor] | drone on 1* (cpor))	drone on	1
371544	(vent 1* (cpor) [cpor] | ventilate 4* (cpor), give vent 1* (cpor))	give vent	1
371540	(blubber 2* (cpor) [cpor] | blubber out 1* (cpor))	blubber out	1
371539	(talk of 1* (cpor) [cpor] | talk about 2* (cpor))	talk about	2
371539	(talk of 1* (cpor) [cpor] | talk about 2* (cpor))	talk of	1
371535	(get off 11* (cpor) [cpor] | )	get off	11
371533	(pour out 1* (cpor) [cpor] | )	pour out	1
371528	(express 2* (cpor) [cpor] | verbalize 3* (cpor), verbalise 3* (cpor), utter 1* (cpor), give tongue to 1* (cpor))	give tongue to	1
371526	(clarify 1* (cpor) [cpor] | clear up 1* (cpor), elucidate 1* (cpor))	clear up	1
371524	(account for 2* (cpor) [cpor] | )	account for	2
371515	(spell 1* (cpor) [cpor] | spell out 3* (cpor))	spell out	3
371514	(keep quiet 1* (cpor) [cpor] | shut one's mouth 1* (cpor), keep one's mouth shut 1* (cpor))	keep one's mouth shut	1
371514	(keep quiet 1* (cpor) [cpor] | shut one's mouth 1* (cpor), keep one's mouth shut 1* (cpor))	shut one's mouth	1
371514	(keep quiet 1* (cpor) [cpor] | shut one's mouth 1* (cpor), keep one's mouth shut 1* (cpor))	keep quiet	1
371513	(spill the beans 1* (cpor) [cpor] | let the cat out of the bag 1* (cpor), talk 5* (cpor), tattle 2* (cpor), blab 1* (cpor), peach 1* (cpor), babble 4* (cpor), sing 5* (cpor), babble out 1* (cpor), blab out 1* (cpor))	blab out	1
371513	(spill the beans 1* (cpor) [cpor] | let the cat out of the bag 1* (cpor), talk 5* (cpor), tattle 2* (cpor), blab 1* (cpor), peach 1* (cpor), babble 4* (cpor), sing 5* (cpor), babble out 1* (cpor), blab out 1* (cpor))	babble out	1
371513	(spill the beans 1* (cpor) [cpor] | let the cat out of the bag 1* (cpor), talk 5* (cpor), tattle 2* (cpor), blab 1* (cpor), peach 1* (cpor), babble 4* (cpor), sing 5* (cpor), babble out 1* (cpor), blab out 1* (cpor))	let the cat out of the bag	1
371513	(spill the beans 1* (cpor) [cpor] | let the cat out of the bag 1* (cpor), talk 5* (cpor), tattle 2* (cpor), blab 1* (cpor), peach 1* (cpor), babble 4* (cpor), sing 5* (cpor), babble out 1* (cpor), blab out 1* (cpor))	spill the beans	1
371510	(sell someone out 1* (cpor) [cpor] | )	sell someone out	1
371506	(leak 2* (cpor) [cpor] | leak out 1* (cpor))	leak out	1
371505	(break 46* (cpor) [cpor] | get out 6* (cpor), get around 1* (cpor))	get around	1
371505	(break 46* (cpor) [cpor] | get out 6* (cpor), get around 1* (cpor))	get out	6
371502	(come out of the closet 1* (cpor) [cpor] | out 1* (cpor), come out 9* (cpor))	come out	9
371502	(come out of the closet 1* (cpor) [cpor] | out 1* (cpor), come out 9* (cpor))	come out of the closet	1
371500	(out 3* (cpor) [cpor] | come out 10* (cpor))	come out	10
371497	(unwrap 2* (cpor) [cpor] | disclose 1* (cpor), let on 1* (cpor), bring out 9* (cpor), reveal 2* (cpor), discover 6* (cpor), expose 2* (cpor), divulge 1* (cpor), break 15* (cpor), give away 2* (cpor), let out 2* (cpor), uncover 3* (cpor))	let out	2
371497	(unwrap 2* (cpor) [cpor] | disclose 1* (cpor), let on 1* (cpor), bring out 9* (cpor), reveal 2* (cpor), discover 6* (cpor), expose 2* (cpor), divulge 1* (cpor), break 15* (cpor), give away 2* (cpor), let out 2* (cpor), uncover 3* (cpor))	give away	2
371497	(unwrap 2* (cpor) [cpor] | disclose 1* (cpor), let on 1* (cpor), bring out 9* (cpor), reveal 2* (cpor), discover 6* (cpor), expose 2* (cpor), divulge 1* (cpor), break 15* (cpor), give away 2* (cpor), let out 2* (cpor), uncover 3* (cpor))	bring out	9
371497	(unwrap 2* (cpor) [cpor] | disclose 1* (cpor), let on 1* (cpor), bring out 9* (cpor), reveal 2* (cpor), discover 6* (cpor), expose 2* (cpor), divulge 1* (cpor), break 15* (cpor), give away 2* (cpor), let out 2* (cpor), uncover 3* (cpor))	let on	1
371496	(tone down 2* (cpor) [cpor] | moderate 5* (cpor), tame 2* (cpor))	tone down	2
371494	(speak in tongues 1* (cpor) [cpor] | )	speak in tongues	1
371492	(twist 9* (cpor) [cpor] | twist around 1* (cpor), pervert 2* (cpor), convolute 2* (cpor), sophisticate 2* (cpor))	twist around	1
